"","codigo_ibge","nome","latitude","longitude","idh10","espvi10","fect10","mort10","estudo10","Renda"
"75",2305357,"Icapuí",-4.71206,-37.3531,0.616,70.44,1.93,25.2,8.66,5.62582093318649
"76",2305407,"Icó",-6.39627,-38.8554,0.606,68.88,2.06,30,9,5.5946370273954
"77",2305506,"Iguatu",-6.36281,-39.2892,0.677,73.48,1.94,17.2,9.49,6.05462712206562
"78",2305605,"Independência",-5.38789,-40.3085,0.632,70.51,2.15,25,9.92,5.5509032084622
"79",2305654,"Ipaporanga",-4.89764,-40.7537,0.579,70.93,2.66,23.8,9.79,5.18727406775471
"80",2305704,"Ipaumirim",-6.78265,-38.7179,0.606,68.72,2.02,30.5,8.91,5.92090795364485
"81",2305803,"Ipu",-4.31748,-40.7059,0.618,70.69,2.33,24.5,8.82,5.68731428194889
"82",2305902,"Ipueiras",-4.53802,-40.7118,0.573,69.1,2.41,29.2,9.61,5.39025824024639
"83",2306009,"Iracema",-5.8124,-38.2919,0.652,68.97,1.91,29.7,10.38,5.78637577296005
"84",2306108,"Irauçuba",-3.74737,-39.7843,0.605,70.28,2.38,25.6,10.24,5.32081244437541
"85",2306207,"Itaiçaba",-4.67146,-37.833,0.656,70.5,1.69,25,10.97,5.6762399716498
"86",2306256,"Itaitinga",-3.96577,-38.5298,0.626,71.05,1.86,23.4,9.1,5.61334706051805
"87",2306306,"Itapajé",-3.68314,-39.5855,0.623,70.57,2.54,24.8,9.56,5.52589109014156
"88",2306405,"Itapipoca",-3.49933,-39.5836,0.64,70.63,2.6,24.6,9.79,5.55721408756806
"89",2306504,"Itapiúna",-4.55516,-38.9281,0.604,71.49,2.48,22.3,9.27,5.32724490162122
"90",2306553,"Itarema",-2.9248,-39.9167,0.606,70.2,2.6,25.9,10.16,5.34677414181623
"91",2306603,"Itatira",-4.52608,-39.6202,0.562,69.79,2.82,27.1,8.83,5.26945482186294
"92",2306702,"Jaguaretama",-5.6051,-38.7639,0.612,71.56,2.5,22.1,9.46,5.50072745747533
"93",2306801,"Jaguaribara",-5.67765,-38.5359,0.618,69.1,2.16,29.2,9.74,5.64893902627367
"94",2306900,"Jaguaribe",-5.90213,-38.6227,0.621,70.6,2.13,24.7,9.46,5.64258060292976
"95",2307007,"Jaguaruana",-4.83151,-37.781,0.624,71.72,1.94,21.6,9.84,5.60126975203566
"96",2307106,"Jardim",-7.57599,-39.2826,0.614,71.72,2.09,21.6,9.58,5.4807222532033
"97",2307205,"Jati",-7.6797,-39.0029,0.651,71.58,2.13,22,9.97,5.57462246597648
"98",2307254,"Jijoca de Jericoacoara",-2.79331,-40.5127,0.652,68.35,2,31.7,10.45,5.89580680691154
"99",2307304,"Juazeiro do Norte",-7.19621,-39.3076,0.694,73.58,2.25,18.12,10.14,6.07136109025385
"100",2307403,"Jucás",-6.51523,-39.5187,0.598,71.32,2.48,22.7,9.82,5.41249390661031
"101",2307502,"Lavras da Mangabeira",-6.7448,-38.9706,0.613,71.65,2.25,21.8,8.27,5.57378767804001
"102",2307601,"Limoeiro do Norte",-5.14392,-38.0847,0.682,73.22,2.03,17.9,9.52,5.98813400701153
"103",2307635,"Madalena",-4.84601,-39.5725,0.61,71.65,2.53,21.8,9.85,5.39616976671554
"104",2307650,"Maracanaú",-3.86699,-38.6259,0.686,72.27,1.81,20.2,10.23,5.87242760063391
"105",2307700,"Maranguape",-3.89143,-38.6829,0.659,72.27,2.03,20.2,9.91,5.66932904658682
"106",2307809,"Marco",-3.1285,-40.1582,0.612,69.05,2.79,29.4,9.28,5.58338352046645
"107",2307908,"Martinópole",-3.2252,-40.6896,0.599,70.57,2.96,24.8,9.72,5.43437681095513
"108",2308005,"Massapê",-3.52364,-40.3423,0.616,71.7,2.32,21.7,10.03,5.41467716766423
"109",2308104,"Mauriti",-7.38597,-38.7708,0.605,71.32,2.3,22.7,9.83,5.44604747857237
"110",2308203,"Meruoca",-3.53974,-40.4531,0.618,70.68,2.02,24.5,8.79,5.54993174983794
"111",2308302,"Milagres",-7.29749,-38.9378,0.628,71.61,1.9,21.9,9.07,5.56137369917341
"112",2308351,"Milhã",-5.67252,-39.1875,0.626,72.01,2.13,20.9,9.71,5.55357954774371
"113",2308377,"Miraíma",-3.56867,-39.9663,0.592,71.7,3.18,21.7,10.09,5.23217756404349
"114",2308401,"Missão Velha",-7.23522,-39.143,0.622,70.21,2.4,25.9,9.79,5.67873813354994
